file,year,longitude,latitude,crop_fraction,crop_label,dominant_crop_fraction,band_order,metadata_source,lr_shape,hr_shape,valid
S2_2018_m121.01664_38.01323.npz,2018,-121.0166382230698,38.013229261929986,0.3331218957901001,GRAPES,0.3331218957901001,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.02196_38.06867.npz,2018,-121.02196383829636,38.06866670407732,0.3491881489753723,GRAPES,0.3491881489753723,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.02367_38.03449.npz,2018,-121.02366777005685,38.03449065303617,0.3542104959487915,GRAPES,0.3542104959487915,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.02412_38.03578.npz,2018,-121.0241168476883,38.035782816143694,0.3217325210571289,GRAPES,0.3217325210571289,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.02512_38.01090.npz,2018,-121.02511851241793,38.01090124408195,0.583197295665741,GRAPES,0.5820931196212769,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.02799_38.06852.npz,2018,-121.02798976183222,38.06851603535697,0.5009710192680359,GRAPES,0.5009710192680359,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.02922_38.02169.npz,2018,-121.02922336717012,38.021685665909324,0.43303197622299194,GRAPES,0.43303197622299194,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.03003_38.07336.npz,2018,-121.0300307564006,38.07335647919935,0.33939599990844727,GRAPES,0.33939599990844727,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.03004_38.00655.npz,2018,-121.03003584755186,38.00654587409308,0.5805906057357788,GRAPES,0.5783823132514954,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.03113_38.01380.npz,2018,-121.0311284661556,38.01380219103328,0.67252516746521,GRAPES,0.67252516746521,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.03275_38.02566.npz,2018,-121.03274909908978,38.02566081809548,0.348718523979187,GRAPES,0.3402988612651825,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.03357_38.06707.npz,2018,-121.03356621089503,38.06707294925579,0.6133310794830322,GRAPES,0.6133310794830322,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.03373_38.01409.npz,2018,-121.03372940433137,38.014089636376156,0.6556626558303833,GRAPES,0.655392050743103,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.03727_38.01501.npz,2018,-121.03726600580437,38.015012892726645,0.48191022872924805,GRAPES,0.4588117003440857,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.03731_38.00281.npz,2018,-121.03730995611878,38.00280579700489,0.952776312828064,GRAPES,0.952776312828064,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.03737_38.00196.npz,2018,-121.03737349942382,38.00196082069726,0.9564048051834106,GRAPES,0.9564048051834106,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.03798_38.00267.npz,2018,-121.03797598194416,38.00266638667446,0.9528152942657471,GRAPES,0.9528152942657471,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.03802_38.01513.npz,2018,-121.03802198234138,38.0151319059241,0.4253217279911041,GRAPES,0.4021342694759369,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.03974_38.01699.npz,2018,-121.03973995669811,38.01699015941685,0.32170569896698,GRAPES,0.28859594464302063,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.03977_38.00783.npz,2018,-121.0397726145334,38.0078348416984,0.7432841062545776,GRAPES,0.7258837819099426,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.04197_38.06143.npz,2018,-121.0419730488409,38.061433606975456,0.5886956453323364,GRAPES,0.5886956453323364,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.04309_38.19926.npz,2018,-121.04309190869273,38.19925770672665,0.33346322178840637,GRAPES,0.33346322178840637,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.04350_38.00622.npz,2018,-121.04349942639716,38.006222987981474,0.7127915024757385,GRAPES,0.6957547664642334,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.04364_38.10322.npz,2018,-121.04364259884812,38.1032228757353,0.32908058166503906,GRAPES,0.32908058166503906,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.04366_38.00258.npz,2018,-121.04366347350967,38.002584651497756,0.8562585711479187,GRAPES,0.8562585711479187,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.04373_38.00174.npz,2018,-121.04372694382823,38.001739671867334,0.8541628122329712,GRAPES,0.8541628122329712,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.04382_38.00921.npz,2018,-121.04382173242568,38.00920504153457,0.565331220626831,GRAPES,0.5356895923614502,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.04400_38.00251.npz,2018,-121.0439964797325,38.00251492950646,0.839676558971405,GRAPES,0.839676558971405,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.04472_38.19365.npz,2018,-121.0447191754053,38.19365065153511,0.41048866510391235,GRAPES,0.41048866510391235,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.04605_38.01151.npz,2018,-121.04605248515159,38.011510322928515,0.33898985385894775,GRAPES,0.2942711114883423,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
S2_2018_m121.04714_38.00435.npz,2018,-121.0471362155396,38.004352603787005,0.6140086650848389,GRAPES,0.6125255823135376,"B4,B3,B2,B8",npz_at_generation,"(32, 32, 4)","(128, 128, 4)",True
