date,year,crop,ndvi_mean,precip_group
2018-01-20,2018,ALFALFA,0.6159163653248082,higher-precipitation
2018-01-20,2018,ALFALFA,0.5895936596788585,higher-precipitation
2018-01-25,2018,ALFALFA,0.5182650083584431,higher-precipitation
2018-01-25,2018,ALFALFA,0.5462576201132615,higher-precipitation
2018-02-09,2018,ALFALFA,0.6592102077548647,higher-precipitation
2018-02-09,2018,ALFALFA,0.6203453632381434,higher-precipitation
2018-02-19,2018,ALFALFA,0.6605185833041282,higher-precipitation
2018-02-19,2018,ALFALFA,0.6167199613732778,higher-precipitation
2018-03-06,2018,ALFALFA,0.6446035438776109,higher-precipitation
2018-03-06,2018,ALFALFA,0.6133665931425628,higher-precipitation
2018-03-11,2018,ALFALFA,0.6563343793173143,higher-precipitation
2018-03-11,2018,ALFALFA,0.6138049890871008,higher-precipitation
2018-03-26,2018,ALFALFA,0.654510000152597,higher-precipitation
2018-03-26,2018,ALFALFA,0.6635706044824831,higher-precipitation
2018-03-31,2018,ALFALFA,0.6618993783503293,higher-precipitation
2018-04-15,2018,ALFALFA,0.7523763728762958,higher-precipitation
2018-04-15,2018,ALFALFA,0.7327526167153768,higher-precipitation
2018-04-20,2018,ALFALFA,0.7791790051110129,higher-precipitation
2018-04-20,2018,ALFALFA,0.7611892064951752,higher-precipitation
2018-04-20,2018,ALFALFA,0.7813525580332794,higher-precipitation
2018-04-20,2018,ALFALFA,0.7299320435739426,higher-precipitation
2018-04-25,2018,ALFALFA,0.7367567909442256,higher-precipitation
2018-04-25,2018,ALFALFA,0.6976657984640416,higher-precipitation
2018-04-30,2018,ALFALFA,0.7169416220069462,higher-precipitation
2018-05-15,2018,ALFALFA,0.5821398982060525,higher-precipitation
2018-05-15,2018,ALFALFA,0.6401662456857304,higher-precipitation
2018-05-20,2018,ALFALFA,0.5832336685576193,higher-precipitation
2018-05-20,2018,ALFALFA,0.6650925060752652,higher-precipitation
2018-05-30,2018,ALFALFA,0.6096071700755049,higher-precipitation
2018-06-04,2018,ALFALFA,0.6070584063845752,higher-precipitation
2018-06-04,2018,ALFALFA,0.6159059493537721,higher-precipitation
2018-06-09,2018,ALFALFA,0.5855072495959774,higher-precipitation
2018-06-14,2018,ALFALFA,0.5692394108691458,higher-precipitation
2018-06-14,2018,ALFALFA,0.5969980454896681,higher-precipitation
2018-06-19,2018,ALFALFA,0.5870536649748899,higher-precipitation
2018-06-19,2018,ALFALFA,0.6035592965883901,higher-precipitation
2018-06-24,2018,ALFALFA,0.5991896879155314,higher-precipitation
2018-06-24,2018,ALFALFA,0.6113319794900561,higher-precipitation
2018-06-29,2018,ALFALFA,0.5810041200721833,higher-precipitation
2018-06-29,2018,ALFALFA,0.5964640295707337,higher-precipitation
2018-07-04,2018,ALFALFA,0.6328230650687002,higher-precipitation
2018-07-04,2018,ALFALFA,0.601576776816817,higher-precipitation
2018-07-09,2018,ALFALFA,0.6130242702792795,higher-precipitation
2018-07-09,2018,ALFALFA,0.6018375545779928,higher-precipitation
2018-07-14,2018,ALFALFA,0.589491384919636,higher-precipitation
2018-07-14,2018,ALFALFA,0.5889894826372295,higher-precipitation
2018-07-19,2018,ALFALFA,0.5727310825308833,higher-precipitation
